antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({31}),frozenset({9}),0.17946666666666666,0.19866666666666666,0.0436,0.24294205052005943,1.2228626704029837,0.007945955555555557,1.0584834805364738
frozenset({32}),frozenset({9}),0.18693333333333334,0.19866666666666666,0.042666666666666665,0.22824536376604848,1.1488860592250763,0.005529244444444442,1.0383265557609365
frozenset({9}),frozenset({32}),0.19866666666666666,0.18693333333333334,0.042666666666666665,0.21476510067114093,1.1488860592250763,0.005529244444444442,1.0354438746438746
frozenset({16}),frozenset({10}),0.17893333333333333,0.1896,0.038,0.21236959761549926,1.1200928144277387,0.00407424,1.0289089877010407
frozenset({10}),frozenset({18}),0.1896,0.1832,0.0424,0.22362869198312238,1.2206806330956461,0.0076652800000000035,1.0520739130434782
frozenset({18}),frozenset({10}),0.1832,0.1896,0.0424,0.2314410480349345,1.2206806330956461,0.0076652800000000035,1.054440909090909
frozenset({21}),frozenset({10}),0.18226666666666666,0.1896,0.0392,0.2150694952450622,1.1343327808283872,0.004642239999999999,1.0324480894687793
frozenset({25}),frozenset({10}),0.18146666666666667,0.1896,0.0396,0.21822189566495226,1.1509593653214782,0.005193920000000005,1.0366112781954886
frozenset({10}),frozenset({27}),0.1896,0.19226666666666667,0.040933333333333335,0.2158931082981716,1.1228837116756498,0.004479573333333334,1.0301316591928251
frozenset({27}),frozenset({10}),0.19226666666666667,0.1896,0.040933333333333335,0.2128987517337032,1.1228837116756498,0.004479573333333334,1.0296007048458151
frozenset({10}),frozenset({29}),0.1896,0.18226666666666666,0.04066666666666666,0.21448663853727143,1.1767738032403334,0.006108906666666664,1.0410177260519249
frozenset({29}),frozenset({10}),0.18226666666666666,0.1896,0.04066666666666666,0.22311631309436722,1.1767738032403334,0.006108906666666664,1.0431419962335216
frozenset({33}),frozenset({10}),0.19626666666666667,0.1896,0.04226666666666667,0.21535326086956522,1.1358294349660614,0.005054506666666667,1.0328214718614719
frozenset({10}),frozenset({33}),0.1896,0.19626666666666667,0.04226666666666667,0.2229254571026723,1.1358294349660614,0.005054506666666667,1.0343066063348416
frozenset({11}),frozenset({21}),0.1752,0.18226666666666666,0.0372,0.21232876712328766,1.1649347135513222,0.0052668800000000016,1.0381657971014493
frozenset({12}),frozenset({28}),0.18146666666666667,0.19106666666666666,0.0384,0.21160911094783247,1.107514537410149,0.0037277688888888855,1.0260561665113388
frozenset({12}),frozenset({33}),0.18146666666666667,0.19626666666666667,0.040933333333333335,0.22556943423952977,1.1493007858671693,0.005317475555555555,1.0378378241619228
frozenset({14}),frozenset({26}),0.1824,0.18693333333333334,0.039066666666666666,0.21418128654970758,1.1457629451660534,0.004970026666666662,1.0346746046511628
frozenset({16}),frozenset({23}),0.17893333333333333,0.19133333333333333,0.0416,0.23248882265275708,1.215098376233922,0.007364088888888891,1.053622006472492
frozenset({23}),frozenset({16}),0.19133333333333333,0.17893333333333333,0.0416,0.21742160278745645,1.215098376233922,0.007364088888888891,1.049181359453844
frozenset({16}),frozenset({27}),0.17893333333333333,0.19226666666666667,0.038266666666666664,0.21385991058122203,1.1123088275722366,0.003863751111111105,1.0274674249605054
frozenset({17}),frozenset({30}),0.18773333333333334,0.18613333333333335,0.04013333333333333,0.2137784090909091,1.148522971476947,0.005189902222222223,1.0351619391749471
frozenset({30}),frozenset({17}),0.18613333333333335,0.18773333333333334,0.04013333333333333,0.2156160458452722,1.148522971476947,0.005189902222222223,1.0355472754946726
frozenset({18}),frozenset({33}),0.1832,0.19626666666666667,0.040933333333333335,0.22343522561863174,1.138426760964496,0.004977280000000001,1.0349855670103092
frozenset({19}),frozenset({27}),0.182,0.19226666666666667,0.0392,0.2153846153846154,1.1202389843166543,0.004207466666666666,1.0294640522875818
frozenset({19}),frozenset({33}),0.182,0.19626666666666667,0.03986666666666667,0.21904761904761907,1.1160714285714286,0.004146133333333336,1.029170731707317
frozenset({27}),frozenset({20}),0.19226666666666667,0.1864,0.042133333333333335,0.21914008321775313,1.1756442232712077,0.006294826666666663,1.041928241563055
frozenset({20}),frozenset({27}),0.1864,0.19226666666666667,0.042133333333333335,0.22603719599427755,1.1756442232712077,0.006294826666666663,1.0436332717190389
frozenset({21}),frozenset({22}),0.18226666666666666,0.18586666666666668,0.04,0.2194586686174104,1.180731717812466,0.0061227022222222205,1.0430368009996875
frozenset({22}),frozenset({21}),0.18586666666666668,0.18226666666666666,0.04,0.2152080344332855,1.1807317178124663,0.0061227022222222205,1.0419746496039
frozenset({29}),frozenset({22}),0.18226666666666666,0.18586666666666668,0.03866666666666667,0.21214337966349672,1.141373993885384,0.004789368888888888,1.0333521510368309
frozenset({27}),frozenset({23}),0.19226666666666667,0.19133333333333333,0.04053333333333333,0.21081830790568654,1.101837846196968,0.0037463111111111086,1.0246900995899237
frozenset({23}),frozenset({27}),0.19133333333333333,0.19226666666666667,0.04053333333333333,0.21184668989547037,1.101837846196968,0.0037463111111111086,1.0248429118773945
frozenset({28}),frozenset({23}),0.19106666666666666,0.19133333333333333,0.04066666666666666,0.21284019539427773,1.112405202409117,0.0041092444444444445,1.0273221040189127
frozenset({23}),frozenset({28}),0.19133333333333333,0.19106666666666666,0.04066666666666666,0.21254355400696864,1.112405202409117,0.0041092444444444445,1.0272737463126844
frozenset({30}),frozenset({23}),0.18613333333333335,0.19133333333333333,0.04106666666666667,0.22063037249283668,1.1531204137256272,0.005453155555555554,1.0375906862745097
frozenset({23}),frozenset({30}),0.19133333333333333,0.18613333333333335,0.04106666666666667,0.21463414634146344,1.1531204137256272,0.005453155555555554,1.0362898550724637
frozenset({33}),frozenset({27}),0.19626666666666667,0.19226666666666667,0.04186666666666667,0.21331521739130435,1.1094758186094194,0.004131128888888891,1.0267560161197467
frozenset({27}),frozenset({33}),0.19226666666666667,0.19626666666666667,0.04186666666666667,0.21775312066574204,1.1094758186094194,0.004131128888888891,1.027467612293144
frozenset({32}),frozenset({33}),0.18693333333333334,0.19626666666666667,0.0412,0.22039942938659057,1.1229590491843948,0.004511217777777778,1.0309552912473314
